No.;No. Abklatsch;No. Graf (No. Makam);Kode Katalog;Sisi Nisan;Kondisi;Tanggal Pembuatan;Tempat Penemuan;Kota/Kabupaten;Kecamatan;Mukim;Gampong;Meunasah;Bentuk Umum;Tinggi;Lebar;Posisi;Bentuk;Motif;Ukuran (cm);Jenis Nisan;Isi Inkripsi;Aksara;Bahasa;Khat;Tanggal Pendataan;BOKS;Tanggal Masuk Boks;Keterangan
11;593;I;;2 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;47;16;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"32,5x10;13x7";Hiasan;-;-;-;-;07-May-24;Boks 1;22-Oct-24;
12;594;I;;3 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;53;27;"Atas;Bawah";Vas & Panil;Floral & Geometris;"12x8;25,5x7";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
13;595;I;;4 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;44,5;15,5;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"32x10,5;13,5x7";Hiasan;-;-;-;-;28-May-24;Boks 1;22-Oct-24;
14;596;I;;5 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;53;27;"Atas;Bawah";Vas & Panil;Floral & Geometris;"13x13;25,5x7";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;28-May-24;Boks 1;22-Oct-24;
15;597;I;;6 Barat;Kurang Baik;1912 Agustus 8;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;43;15;Seluruh Sisi;Panil;Floral & Geometris;"30x9,5;13,5x7,5";Hiasan;-;-;-;-;29-May-24;Boks 1;22-Oct-24;
16;598;I;;7 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;53;29;"Atas;Bawah";Vas & Panil;Floral & Geometris;"12x8;25x7";Kaligrafi dan Hiasan;-;Arab;Arab;-;29-May-24;Boks 1;22-Oct-24;
17;599;I;;8 Timur;Kurang Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;45;16;Seluruh Sisi;Panil;Floral & Geometris;"32x10,5;13,5x7";Hiasan;-;-;-;-;29-May-24;Boks 1;22-Oct-24;
18;600;I;;9  Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;51;28;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"12x8;25x7";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
19;601;I;;10 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;44;15,5;"Atas;Bawah";Panil;Floral & Geometris;"32x10;13x7";Kaligrafi dan Hiasan;-;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
20;602;I;;11 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;53;29;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"13x12,5;25,5x7";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
21;603;I;;12 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;45;15,5;Seluruh Sisi;Panil;Floral & Geometris;"30,5x9,5;13,5x7";Hiasan;-;-;;-;29-May-24;Boks 1;22-Oct-24;
22;604;I;;13 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;54;30;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"12,5x12,5;25x7";Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
23;605;I;;14 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;43,5;15;Seluruh Sisi;Panil;Floral & Geometris;"32x10,5;13,5x7";Hiasan;-;-;-;-;29-May-24;Boks 1;22-Oct-24;
24;606;I;;15 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;52;28;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"12x8;25x7";Kaligrafi dan Hiasan;-;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
25;607;I;;16 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;42;14,5;"Atas;Bawah";Panil;Floral & Geometris;"30,5x9,5;13,5x7";Hiasan;-;-;-;-;13-May-24;Boks 1;22-Oct-24;
26;608;I (T.Meurade Aloei);abk.ach.bm.tma.i;1 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;65;40;Atas;Vas;-;15x13;Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;29-May-24;Boks 1;22-Oct-24;
27;609;I (T.Meurade Aloei);abk.ach.bm.tma.i;2 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;70;26,5;-;-;-;-;Kaligrafi;-;Arab;Arab;-;14-May-24;Boks 1;22-Oct-24;
28;610;I (T.Meurade Aloei);abk.ach.bm.tma.i;3 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;65;40;Atas;Vas;-;14,5x12,5;Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;29-May-24;Boks 1;22-Oct-24;
29;611;I (T.Meurade Aloei);abk.ach.bm.tma.i;4 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;70;26,5;-;-;-;-;Kaligrafi;Ayat Al-Quran;Arab;Arab;-;14-May-24;Boks 1;22-Oct-24;
30;612;I (T.Meurade Aloei);abk.ach.bm.tma.i;5 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;54;28,5;"Atas;Bawah";Vas & Panil;Floral;"10,5x14;26x5";Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;Tsuluts;29-May-24;Boks 1;22-Oct-24;
31;613;I (T.Meurade Aloei);abk.ach.bm.tma.i;6 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;43;18,5;-;-;-;-;Kaligrafi;Syair dan Puisi;Arab;Arab;Tsuluts;29-May-24;Boks 1;22-Oct-24;
32;614;I (T.Meurade Aloei);abk.ach.bm.tma.i;7 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;54;28,5;"Atas;Bawah";Vas & Panil;Floral;"10,5x14;26x5";Kaligrafi dan Hiasan;Nama Tokoh dan Pertanggalan;Arab;Arab;Tsuluts;29-May-24;Boks 1;22-Oct-24;
33;615;I (T.Meurade Aloei);abk.ach.bm.tma.i;8 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;46,5;21;Bawah;Panil;Floral;21x12;Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;-;14-May-24;Boks 1;22-Oct-24;
34;616;II;;1 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;72;29;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral dan Geometris;"23x16;23x37;29x8";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
35;617;II;;2 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;49;22;"Atas;Bawah";Mahkota & Panil;Floral dan Geometris;"34x16;22x7";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
36;619;II;;4 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;46;24;"Atas;Bawah";Mahkota & Panil;Floral;"33x16;21x10";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
37;620;II;;5 selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bermahkota;70;27;"Atas;Bawah";Mahkota & Panil;Floral dan Geometris;"31x27;27x7";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
38;621;II;;6 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;45;24;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"31x17;22x6";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;Tsuluts;29-May-24;Boks 1;22-Oct-24;
39;622;II;;7 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bermahkota;70;27;"Atas;Bawah";Mahkota & Panil;Floral & Geometris;"34x26;27x7";Kaligrafi dan Hiasan;-;Arab;Arab;-;16-May-24;Boks 1;22-Oct-24;
40;623;II;;8 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;42;22;"Atas;Bawah";Mahkota & Panil;Floral & Geometris;"17x31;22x6";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;08-May-24;Boks 1;22-Oct-24;
41;624;II;;1-3 Utara-Selatan (Puncak);Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;16;15;Samping;Panil;Floral;16x2;Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;29-May-24;Boks 1;22-Oct-24;
42;625;II;;5-7 Utara-Selatan (Puncak);Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;18,5;14;Samping;Panil;Floral;18,5x2;Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;29-May-24;Boks 1;22-Oct-24;
43;626;III;abk.ach.bm.ppp.iii;1 Utara;Cukup Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;69;39;"Atas;Tengah;Bawah";Vas, Bingkai & Panil;Floral & Geometris;"25x18;39x29;26x9";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;08-May-24;Boks 1;22-Oct-24;
44;627;III;abk.ach.bm.ppp.iii;2 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;26;20,5;"Atas;Bawah";Pilar & Panil;Floral & Geometris;"15,5x4,5;20,5x9,5";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;29-May-24;Boks 1;22-Oct-24;
45;628;III;abk.ach.bm.ppp.iii;3 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;69;39;"Atas;Tengah;Bawah";Vas, Bingkai & Panil;Floral dan Geometris;"25x18;39x29;25x9";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;08-May-24;Boks 1;22-Oct-24;
46;629;III;abk.ach.bm.ppp.iii;4 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;26;25;"Atas;Bawah";Bingkai & Panil;Floral dan Geometris;"15x15;20x7";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;14-May-24;Boks 1;22-Oct-24;
47;630;III;abk.ach.bm.ppp.iii;5 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;67;42;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral & Geometris;"42x42;12x21;27x6";Kaligrafi dan Hiasan;-;Arab;Arab;-;29-May-24;Boks 1;22-Oct-24;
48;631;III;abk.ach.bm.ppp.iii;6 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;22;20;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"13,5x5;20x9";Kaligrafi dan Hiasan;-;Arab;Arab;-;29-May-24;Boks 1;22-Oct-24;
49;632;III;abk.ach.bm.ppp.iii;7 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;67;42;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral & Geometris;"42x42;12x21;27x6";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;29-May-24;Boks 1;22-Oct-24;
50;633;III;abk.ach.bm.ppp.iii;8 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Segi Empat;23;20;"Tengah;Bawah";Bingkai & Panil;Floral & Geometris;"17x13;20x7";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;16-May-24;Boks 1;22-Oct-24;
51;634;III;abk.ach.bm.ppp.iii;1-3 Utara-Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;17;15;Samping;Panil;Geometris;16x2;Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
52;635;III;abk.ach.bm.ppp.iii;7-5 Puncak;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;14;15,5;Samping;Panil;Geometris;16x2;Kaligrafi dan Hiasan;-;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
53;637;V;;1 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;25;14;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"16x10;13x5";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
54;641;VI;;1 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bermahkota;43;33;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral dan Geometris;"11x8;33x24;22x9";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
55;644;VI;;4 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;35;21;"Tengah;Bawah";Bingkai & Panil;Floral, Geometris & Roset;"14x4;21x10,5";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;29-May-24;Boks 1;22-Oct-24;
56;645;VII;;1 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;54,5;26,5;"Atas;Tengah;Bawah";Vas, Bingkai & Panil;Floral dan Geometris;"12x10;21x29,5;22x7";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
57;646;VII;;2 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;42;18;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"29x12;12x6,5";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
58;647;VII;;3 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;44;26;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"31x21;22,5x7";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
59;648;VII;;4 Barat;Kurang Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bermahkota;77;30;"Atas;Bawah";Mahkota & Panil;Floral dan Geometris;"27x26,5;30x7,5";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
60;649;VII;;5 selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;56;27;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"43x23;24x7,5";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;13-May-24;Boks 1;22-Oct-24;
61;650;VII;;6 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;51;19;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"31,5x12;14x8";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;08-May-24;Boks 1;22-Oct-24;
62;651;VII;;7 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;55;27;"Atas;Bawah";Vas, Bingkai & Panil;Floral & Geometris;"11,5x10;22,5x31,5;24x8";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;08-May-24;Boks 1;22-Oct-24;
63;652;VII;;8 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;44;17;"Atas;Bawah";Bingkai & Panil;Floral dan Geometris;"13x32;13x8";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;08-May-24;Boks 1;22-Oct-24;
64;653;VIII;abk.ach.bm.ppp.viii;1 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;34;37;"Tengah;Bawah";Bingkai & Panil;Floral & Geometris;"37x23;25x7";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;08-May-24;Boks 1;22-Oct-24;
65;654;VIII;abk.ach.bm.ppp.viii;2 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;21;22;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"20x12,5;22x9,5";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
66;655;VIII;abk.ach.bm.ppp.viii;3 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;35;35;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"35x26;27x10";Kaligrafi dan Hiasan;-;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
67;656;VIII;abk.ach.bm.ppp.viii;4 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;21;22;"Atas;Bawah";Bingkai & Panil;Floral dan Geometris;"10,5x10;21x8,5";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
68;657;VIII;abk.ach.bm.ppp.viii;5 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;48;40;"Atas;Bawah";Mahkota & Panil;Floral & Geometris;"25x40;23x6";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;16-May-24;Boks 1;22-Oct-24;
69;658;VIII;abk.ach.bm.ppp.viii;6 Barat;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;21;22;"Atas;Bawah";Bingkai & Panil;Floral dan Geometris;"11x10;21x8,5";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
70;659;VIII;abk.ach.bm.ppp.viii;7 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;51;41;"Atas;Bawah";Mahkota & Panil;Floral & Geometris;"25x41;27x6";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;28-May-24;Boks 1;22-Oct-24;
71;660;VIII;abk.ach.bm.ppp.viii;8 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;31;23;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"20x12,5;23x6,5";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;07-May-24;Boks 1;22-Oct-24;
72;661;IX;abk.ach.bm.ppp.ix;1 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;50;27;"Atas;Bawah";Vas & Panil;Floral;"6x8;3x27";Kaligrafi dan Hiasan;Pujian;Arab;Arab;Tsuluts;28-May-24;Boks 1;22-Oct-24;
73;662;IX;abk.ach.bm.ppp.ix;2 Timur;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;51;16;Bawah;Panil;Floral;14,5x3,5;Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;28-May-24;Boks 1;22-Oct-24;
74;663;IX;abk.ach.bm.ppp.ix;3 Selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;48;28;"Atas;Bawah";Vas & Panil;Floral;"9x9;26x3,5";Kaligrafi dan Hiasan;Pujian;Arab;Arab;Tsuluts;28-May-24;Boks 1;22-Oct-24;
75;665;X;;1 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;47,5;27;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"34x13,5;27x5";Hiasan;-;-;-;-;13-May-24;Boks 1;22-Oct-24;
76;667;X;;7 Utara;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;46;27;Seluruh Sisi;Vas;Floral dan Geometris;36x16;Hiasan;-;-;-;-;13-May-24;Boks 1;22-Oct-24;
77;668;X;;5 selatan;Baik;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;49;27;"Atas;Bawah";Vas & Panil;Floral & Geometris;"33x14,5;26x4";Hiasan;-;-;-;-;13-May-24;Boks 1;22-Oct-24;
