nomor_abklats;nomor_graf;sisi_nisan;kondisi;tanggal_pembuatan;tempat_penemuan;kota;kecamatan;mukim;gampong;meunasah;bentuk_umum;panjang;lebar;ornamentasi_posisi;ornamentasi_bentuk;ornamentasi_motif;ornamentasi_ukuran;jenis_nisan;tanggal_pendataan;boks_penyimpanan
620;II;5 selatan;5 selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bermahkota;70;27;"Atas;Bawah";Mahkota & Panil;Floral dan Geometris;"31x27;27x7";Kaligrafi dan Hiasan;13-May-24;Boks 1
621;II;6 Barat;6 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;45;24;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"31x17;22x6";Kaligrafi dan Hiasan;29-May-24;Boks 1
622;II;7 Utara;7 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bermahkota;70;27;"Atas;Bawah";Mahkota & Panil;Floral & Geometris;"34x26;27x7";Kaligrafi dan Hiasan;16-May-24;Boks 1
623;II;8 Timur;8 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;42;22;"Atas;Bawah";Mahkota & Panil;Floral & Geometris;"17x31;22x6";Kaligrafi dan Hiasan;08-May-24;Boks 1
624;II;1-3 Utara-Selatan (Puncak);1-3 Utara-Selatan (Puncak);1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;16;15;Samping;Panil;Floral;16x2;Kaligrafi dan Hiasan;29-May-24;Boks 1
625;II;5-7 Utara-Selatan (Puncak);5-7 Utara-Selatan (Puncak);1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;18,5;14;Samping;Panil;Floral;18,5x2;Kaligrafi dan Hiasan;29-May-24;Boks 1
626;III;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;69;39;"Atas;Tengah;Bawah";Vas, Bingkai & Panil;Floral & Geometris;"25x18;39x29;26x9";Kaligrafi dan Hiasan;08-May-24;Boks 1
627;III;2 Timur;2 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;26;20,5;"Atas;Bawah";Pilar & Panil;Floral & Geometris;"15,5x4,5;20,5x9,5";Kaligrafi dan Hiasan;29-May-24;Boks 1
628;III;3 Selatan;3 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;69;39;"Atas;Tengah;Bawah";Vas, Bingkai & Panil;Floral dan Geometris;"25x18;39x29;25x9";Kaligrafi dan Hiasan;08-May-24;Boks 1
629;III;4 Barat;4 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;26;25;"Atas;Bawah";Bingkai & Panil;Floral dan Geometris;"15x15;20x7";Kaligrafi dan Hiasan;14-May-24;Boks 1
630;III;5 Selatan;5 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;67;42;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral & Geometris;"42x42;12x21;27x6";Kaligrafi dan Hiasan;29-May-24;Boks 1
631;III;6 Barat;6 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;22;20;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"13,5x5;20x9";Kaligrafi dan Hiasan;29-May-24;Boks 1
632;III;7 Utara;7 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;67;42;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral & Geometris;"42x42;12x21;27x6";Kaligrafi dan Hiasan;29-May-24;Boks 1
633;III;8 Timur;8 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Segi Empat;23;20;"Tengah;Bawah";Bingkai & Panil;Floral & Geometris;"17x13;20x7";Kaligrafi dan Hiasan;16-May-24;Boks 1
634;III;1-3 Utara-Selatan;1-3 Utara-Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;17;15;Samping;Panil;Geometris;16x2;Kaligrafi dan Hiasan;07-May-24;Boks 1
635;III;7-5 Puncak;7-5 Puncak;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;14;15,5;Samping;Panil;Geometris;16x2;Kaligrafi dan Hiasan;07-May-24;Boks 1
637;V;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;25;14;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"16x10;13x5";Kaligrafi dan Hiasan;07-May-24;Boks 1
641;VI;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bermahkota;43;33;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral dan Geometris;"11x8;33x24;22x9";Kaligrafi dan Hiasan;07-May-24;Boks 1
644;VI;4 Barat;4 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;35;21;"Tengah;Bawah";Bingkai & Panil;Floral, Geometris & Roset;"14x4;21x10,5";Kaligrafi dan Hiasan;29-May-24;Boks 1
645;VII;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;54,5;26,5;"Atas;Tengah;Bawah";Vas, Bingkai & Panil;Floral dan Geometris;"12x10;21x29,5;22x7";Kaligrafi dan Hiasan;07-May-24;Boks 1
646;VII;2 Timur;2 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;42;18;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"29x12;12x6,5";Kaligrafi dan Hiasan;07-May-24;Boks 1
647;VII;3 Selatan;3 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;44;26;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"31x21;22,5x7";Kaligrafi dan Hiasan;07-May-24;Boks 1
648;VII;4 Barat;4 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bermahkota;77;30;"Atas;Bawah";Mahkota & Panil;Floral dan Geometris;"27x26,5;30x7,5";Kaligrafi dan Hiasan;13-May-24;Boks 1
649;VII;5 selatan;5 selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;56;27;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"43x23;24x7,5";Kaligrafi dan Hiasan;13-May-24;Boks 1
650;VII;6 Barat;6 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;51;19;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"31,5x12;14x8";Kaligrafi dan Hiasan;08-May-24;Boks 1
651;VII;7 Utara;7 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;55;27;"Atas;Bawah";Vas, Bingkai & Panil;Floral & Geometris;"11,5x10;22,5x31,5;24x8";Kaligrafi dan Hiasan;08-May-24;Boks 1
652;VII;8 Timur;8 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;44;17;"Atas;Bawah";Bingkai & Panil;Floral dan Geometris;"13x32;13x8";Kaligrafi dan Hiasan;08-May-24;Boks 1
653;VIII;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Bersayap;34;37;"Tengah;Bawah";Bingkai & Panil;Floral & Geometris;"37x23;25x7";Kaligrafi dan Hiasan;08-May-24;Boks 1
654;VIII;2 Timur;2 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;21;22;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"20x12,5;22x9,5";Kaligrafi dan Hiasan;07-May-24;Boks 1
655;VIII;3 Selatan;3 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;35;35;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"35x26;27x10";Kaligrafi dan Hiasan;07-May-24;Boks 1
656;VIII;4 Barat;4 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;21;22;"Atas;Bawah";Bingkai & Panil;Floral dan Geometris;"10,5x10;21x8,5";Kaligrafi dan Hiasan;07-May-24;Boks 1
657;VIII;5 Selatan;5 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;48;40;"Atas;Bawah";Mahkota & Panil;Floral & Geometris;"25x40;23x6";Kaligrafi dan Hiasan;16-May-24;Boks 1
658;VIII;6 Barat;6 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi;21;22;"Atas;Bawah";Bingkai & Panil;Floral dan Geometris;"11x10;21x8,5";Kaligrafi dan Hiasan;07-May-24;Boks 1
659;VIII;7 Utara;7 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;51;41;"Atas;Bawah";Mahkota & Panil;Floral & Geometris;"25x41;27x6";Kaligrafi dan Hiasan;28-May-24;Boks 1
660;VIII;8 Timur;8 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;31;23;"Tengah;Bawah";Bingkai & Panil;Floral dan Geometris;"20x12,5;23x6,5";Kaligrafi dan Hiasan;07-May-24;Boks 1
661;IX;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;50;27;"Atas;Bawah";Vas & Panil;Floral;"6x8;3x27";Kaligrafi dan Hiasan;28-May-24;Boks 1
662;IX;2 Timur;2 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;51;16;Bawah;Panil;Floral;14,5x3,5;Kaligrafi dan Hiasan;28-May-24;Boks 1
663;IX;3 Selatan;3 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Nisan Puncak Kurawal;48;28;"Atas;Bawah";Vas & Panil;Floral;"9x9;26x3,5";Kaligrafi dan Hiasan;28-May-24;Boks 1
665;X;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;47,5;27;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"34x13,5;27x5";Hiasan;13-May-24;Boks 1
667;X;7 Utara;7 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;46;27;Seluruh Sisi;Vas;Floral dan Geometris;36x16;Hiasan;13-May-24;Boks 1
668;X;5 selatan;5 selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;49;27;"Atas;Bawah";Vas & Panil;Floral & Geometris;"33x14,5;26x4";Hiasan;13-May-24;Boks 1
669;XI;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;59,5;34;"Atas;Bawah";Mahkota & Bingkai;Floral & Geometris;"32x13;34x43";Kaligrafi dan Hiasan;13-May-24;Boks 1
670;XI;2 Timur;2 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;59,5;34;"Atas;Bawah";"Mahkota;Bingkai";Floral dan Geometris;"32x13;34x42";Kaligrafi dan Hiasan;13-May-24;Boks 1
671;XI;3 Selatan;3 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;54;31;Atas;Mahkota;Floral dan Geometris;31x22;Kaligrafi dan Hiasan;13-May-24;Boks 1
672;XI;4 Barat;4 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;54;31;Atas;Mahkota;Floral & Geometris;21x30,5;Kaligrafi dan Hiasan;13-May-24;Boks 1
674;XII;2 Timur;2 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;61;35;"Atas;Bawah";Mahkota & Bingkai;Floral & Geometris;"35x16,5;41x35";Kaligrafi dan Hiasan;29-May-24;Boks 1
675;XII;3 Selatan;3 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;56,5;31;Atas;Mahkota;Floral;31x23;Kaligrafi dan Hiasan;27-May-24;Boks 1
676;XII;4 Barat;4 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Stele;54;31;"Atas;Bawah";Mahkota & Panil;Floral;"31x16;35x31";Kaligrafi dan Hiasan;29-May-24;Boks 1
677;XIII;1 Utara;1 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;65;32;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;-;"28x27;24,5x23;29,5x8";Kaligrafi dan Hiasan;29-May-24;Boks 1
678;XIII;2 Timur;2 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;40;21,5;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"29x19;21x11";Kaligrafi dan Hiasan;29-May-24;Boks 1
679;XII;3 Selatan;3 Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;64;30;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral dan Geometris;"22x15;30x24;29x8,5";Kaligrafi dan Hiasan;13-May-24;Boks 1
680;XIII;4 Barat;4 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;43;23;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"27x16;22x8";Kaligrafi dan Hiasan;29-May-24;Boks 1
681;XIII;5 selatan;5 selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;62;27;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral & Geometris;"21x13;24x23;26x6";Kaligrafi dan Hiasan;13-May-24;Boks 1
682;XIII;6 Barat;6 Barat;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;39;19;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"26x15,5;19x5,5";Kaligrafi dan Hiasan;13-May-24;Boks 1
683;XIII;7 Utara;7 Utara;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;55;28;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral dan Geometris;"16x13;22x24;26x6";Kaligrafi dan Hiasan;13-May-24;Boks 1
684;XIII;8 Timur;8 Timur;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;36;19,5;"Atas;Bawah";Bingkai & Panil;Floral & Geometris;"28x17;19,5x8";Kaligrafi dan Hiasan;29-May-24;Boks 1
685;XIII;1-3 Utara-Selatan;1-3 Utara-Selatan;1912 November;Makam Peuët Ploh Peuët;Aceh Utara;Samudera;Blang Me;Samodera;Baringin;Persegi Panjang;17;13;-;-;-;-;Kaligrafi;29-May-24;Boks 1
701;VII;3 Selatan;3 Selatan;1913 April;Makam Toengoe Sareh;Aceh Utara;Samudera;Blang Me;Samodera;Kroeëng;Stele;69;42;"Atas;Tengah";Vas & Panil;Floral;"14x11;26x6,5";Kaligrafi dan Hiasan;20-May-24;Boks 1
702;VII;4 Barat;4 Barat;1913 April;Makam Toengoe Sareh;Aceh Utara;Samudera;Blang Me;Samodera;Kroeëng;Stele;72;28;Tengah;Panil;Floral;13,5x7;Kaligrafi dan Hiasan;20-May-24;Boks 1
705;VII;7 Utara;7 Utara;1913 April;Makam Toengoe Sareh;Aceh Utara;Samudera;Blang Me;Samodera;Kroeëng;Stele;67,5;40,5;"Atas;Tengah";Vas & Panil;Floral;"14x11,5;26x7";Kaligrafi dan Hiasan;20-May-24;Boks 1
